"Time","gestão de sala de aula","indisciplina","disciplina escolar","controle de sala de aula","manejo de classe"
"2018-08-01",1,12,3,0,0
"2018-09-01",1,14,3,1,0
"2018-10-01",1,12,2,1,0
"2018-11-01",1,13,3,0,0
"2018-12-01",1,9,2,0,0
"2019-01-01",1,6,2,0,0
"2019-02-01",1,9,3,0,0
"2019-03-01",2,12,4,0,0
"2019-04-01",2,13,4,0,0
"2019-05-01",2,13,3,0,0
"2019-06-01",1,11,3,0,0
"2019-07-01",1,7,2,0,0
"2019-08-01",1,10,3,0,0
"2019-09-01",2,12,4,1,0
"2019-10-01",2,11,4,0,0
"2019-11-01",1,9,5,1,0
"2019-12-01",1,7,2,0,0
"2020-01-01",1,5,2,0,0
"2020-02-01",2,6,3,0,0
"2020-03-01",2,7,4,1,0
"2020-04-01",1,5,4,1,0
"2020-05-01",3,5,5,1,0
"2020-06-01",2,5,6,1,0
"2020-07-01",0,4,4,1,0
"2020-08-01",1,4,4,1,0
"2020-09-01",2,5,5,1,0
"2020-10-01",2,9,5,1,1
"2020-11-01",3,7,5,1,0
"2020-12-01",1,5,3,1,0
"2021-01-01",1,3,1,1,0
"2021-02-01",2,4,3,1,0
"2021-03-01",2,4,5,1,0
"2021-04-01",5,4,6,1,0
"2021-05-01",4,6,7,1,0
"2021-06-01",2,6,8,1,0
"2021-07-01",1,4,3,0,0
"2021-08-01",1,5,3,1,0
"2021-09-01",2,7,5,1,0
"2021-10-01",5,6,6,1,0
"2021-11-01",3,6,5,1,0
"2021-12-01",2,5,4,1,0
"2022-01-01",1,3,2,0,0
"2022-02-01",2,5,4,1,0
"2022-03-01",3,9,5,1,0
"2022-04-01",3,8,5,1,0
"2022-05-01",4,15,6,1,0
"2022-06-01",3,11,6,1,0
"2022-07-01",1,6,3,0,0
"2022-08-01",2,8,4,1,0
"2022-09-01",2,8,5,1,0
"2022-10-01",4,7,6,1,0
"2022-11-01",3,7,5,1,0
"2022-12-01",1,5,3,0,0
"2023-01-01",1,4,2,0,0
"2023-02-01",2,5,3,0,0
"2023-03-01",3,8,4,1,0
"2023-04-01",3,8,4,1,0
"2023-05-01",3,11,4,1,0
"2023-06-01",3,8,4,1,0
